,Train_loss,Train_pearson,Train_r2,Valid_loss,Valid_pearson,Valid_r2,Best_epoch
14,0.048100615691727834,"(0.8988102859921538, 0.0)",0.8030019149301215,0.05300746161555379,"(0.8668343492058519, 0.0)",0.745644030759693,28
15,0.04797088644025551,"(0.9014263714991799, 0.0)",0.8090334910989846,0.051819407743548304,"(0.870698932919557, 0.0)",0.7569179987337268,28
16,0.04770000470638044,"(0.8984355865876802, 0.0)",0.8042404536126262,0.05254065958249518,"(0.8685261623128606, 0.0)",0.7501041971478177,28
17,0.04810118214231007,"(0.8993052266367488, 0.0)",0.8057439336760202,0.053442910433498074,"(0.8650590496046412, 0.0)",0.7414478675950882,28
18,0.04751025972415507,"(0.8971846006574437, 0.0)",0.7977827424853968,0.05280984986668903,"(0.8675863347579184, 0.0)",0.7475369721407386,28
19,0.04777138971242851,"(0.9005546933297703, 0.0)",0.8092167693324452,0.052462475425140605,"(0.8696851117172357, 0.0)",0.7508473698343885,28
20,0.047198412025539725,"(0.899683575303219, 0.0)",0.8051436923345929,0.05360496053863418,"(0.8636765449401794, 0.0)",0.7398775225677874,28
21,0.04704737431887824,"(0.9021730129736519, 0.0)",0.8096791957609775,0.052261726139595954,"(0.8681618391147686, 0.0)",0.752750499966544,28
22,0.04712028478351685,"(0.904417100084473, 0.0)",0.8177028796567067,0.051610493272079734,"(0.8718594626358342, 0.0)",0.7588740560848484,28
23,0.04677516718682927,"(0.9057884756909864, 0.0)",0.8058812590174019,0.05284167326885021,"(0.8703167906446163, 0.0)",0.7472326123707027,28
24,0.04679323953508059,"(0.9017147248389289, 0.0)",0.8107114291562079,0.052958904031946294,"(0.8672166377000066, 0.0)",0.746109821306002,28
25,0.046729096255880356,"(0.9028467933268365, 0.0)",0.8150064451967629,0.052330218262291284,"(0.868487692266967, 0.0)",0.7521020045648058,28
26,0.0464200819906518,"(0.9036952385007878, 0.0)",0.8152843028863795,0.052159604597146955,"(0.872166295126235, 0.0)",0.7537158299114625,28
27,0.046366029647318674,"(0.9048427802525214, 0.0)",0.8185210517154309,0.0510296482270359,"(0.8748383871301303, 0.0)",0.7642709676082149,28
28,0.04625225477784206,"(0.9057106601075028, 0.0)",0.8164064009120399,0.051361025459422074,"(0.8730979531407673, 0.0)",0.7611994665656656,28
29,0.04688396520399435,"(0.9055363055337483, 0.0)",0.8187100196315724,0.05106155954381246,"(0.874100967776031, 0.0)",0.7639760506175002,28
30,0.04636356106147737,"(0.9067746690773462, 0.0)",0.8216347725423391,0.0513811012000324,"(0.8727773338906373, 0.0)",0.761012750743814,28
31,0.04637605174289747,"(0.9081820929648199, 0.0)",0.8206667323401682,0.05209997684243381,"(0.8685380390586561, 0.0)",0.7542786005756859,28
32,0.04631126450825702,"(0.908176826899587, 0.0)",0.8103966952192969,0.052455818111173995,"(0.871505197037209, 0.0)",0.7509105991967466,28
33,0.04607135249425951,"(0.9057151143576434, 0.0)",0.8177098334022941,0.05202362676099689,"(0.8723737140071648, 0.0)",0.7549982605176645,28
34,0.04602127917600069,"(0.9056265532225827, 0.0)",0.8199270170900965,0.052302833528909964,"(0.8684129261236062, 0.0)",0.7523613893530678,28
35,0.046184917394867867,"(0.9067273430761276, 0.0)",0.8201766456814352,0.052813112059693745,"(0.8691904395370667, 0.0)",0.7475057816400206,28
36,0.0464411283349529,"(0.904375495502894, 0.0)",0.8044287302587896,0.052884297214342346,"(0.8684189608742601, 0.0)",0.7468246651564663,28
37,0.046081017722217975,"(0.9069819459068784, 0.0)",0.8224399574248754,0.05233525557816227,"(0.8694985628500127, 0.0)",0.7520542775909093,28
38,0.04590857195913701,"(0.9058157195230416, 0.0)",0.8203173856300247,0.051896238726337564,"(0.8708071484167577, 0.0)",0.7561966383125347,28
39,0.046179930788431925,"(0.9052536757455456, 0.0)",0.8136066996668566,0.05195661559193032,"(0.8732252012784687, 0.0)",0.7556290207576513,28
40,0.04594274527184148,"(0.8995188617072575, 0.0)",0.8007133811925181,0.05403286241664208,"(0.8642323279828716, 0.0)",0.7357080867441399,28
41,0.046136902400526446,"(0.9027128918231255, 0.0)",0.8135362901551887,0.053695511297719524,"(0.8619818486534714, 0.0)",0.7389979688409059,28
